ensembl_gene_id	hgnc_symbol	chromosome_name
ENSG00000005238	FAM214B	9
ENSG00000005243	COPZ2	17
ENSG00000005249	PRKAR2B	7
ENSG00000005302	MSL3	X
ENSG00000005339	CREBBP	16
ENSG00000005379	TSPOAP1	17
ENSG00000005381	MPO	17
ENSG00000005421	PON1	7
ENSG00000005436	GCFC2	2
ENSG00000005448	WDR54	2
ENSG00000005469	CROT	7
ENSG00000005471	ABCB4	7
ENSG00000005483	KMT2E	7
ENSG00000005486	RHBDD2	7
ENSG00000005513	SOX8	16
ENSG00000005700	IBTK	6
ENSG00000005801	ZNF195	11
ENSG00000005810	MYCBP2	13
ENSG00000005812	FBXL3	13
ENSG00000005844	ITGAL	16
ENSG00000005882	PDK2	17
ENSG00000005884	ITGA3	17
ENSG00000005889	ZFX	X
ENSG00000005893	LAMP2	X
ENSG00000005961	ITGA2B	17
ENSG00000006007	GDE1	16
ENSG00000006015	REX1BD	19
ENSG00000006016	CRLF1	19
ENSG00000006025	OSBPL7	17
ENSG00000006042	TMEM98	17
ENSG00000006047	YBX2	17
ENSG00000006062	MAP3K14	17
ENSG00000006071	ABCC8	11
ENSG00000006116	CACNG3	16
ENSG00000006118	TMEM132A	11
ENSG00000006125	AP2B1	17
ENSG00000006128	TAC1	7
ENSG00000006194	ZNF263	16
ENSG00000006210	CX3CL1	16
ENSG00000006282	SPATA20	17
ENSG00000006283	CACNA1G	17
ENSG00000006327	TNFRSF12A	16
ENSG00000006432	MAP3K9	14
ENSG00000006451	RALA	7
ENSG00000006453	BAIAP2L1	7
ENSG00000006459	KDM7A	7
ENSG00000006468	ETV1	7
ENSG00000006530	AGK	7
ENSG00000006534	ALDH3B1	11
ENSG00000006555	TTC22	1
ENSG00000006576	PHTF2	7
ENSG00000006606	CCL26	7
ENSG00000006607	FARP2	2
ENSG00000006625	GGCT	7
ENSG00000006634	DBF4	7
ENSG00000006638	TBXA2R	19
ENSG00000006652	IFRD1	7
ENSG00000006659	LGALS14	19
ENSG00000006695	COX10	17
ENSG00000006704	GTF2IRD1	7
ENSG00000006712	PAF1	19
ENSG00000006715	VPS41	7
ENSG00000006740	ARHGAP44	17
ENSG00000006744	ELAC2	17
ENSG00000006747	SCIN	7
ENSG00000006756	ARSD	X
ENSG00000006757	PNPLA4	X
ENSG00000006831	ADIPOR2	12
ENSG00000006837	CDKL3	5
ENSG00000007001	UPP2	2
ENSG00000007038	PRSS21	16
ENSG00000007047	MARK4	19
ENSG00000007062	PROM1	4
ENSG00000007080	CCDC124	19
ENSG00000007129	CEACAM21	19
ENSG00000007168	PAFAH1B1	17
ENSG00000007171	NOS2	17
ENSG00000007174	DNAH9	17
ENSG00000007202	KIAA0100	17
ENSG00000007216	SLC13A2	17
ENSG00000007237	GAS7	17
ENSG00000007255	TRAPPC6A	19
ENSG00000007264	MATK	19
ENSG00000007312	CD79B	17
ENSG00000007314	SCN4A	17
ENSG00000007341	ST7L	1
ENSG00000007350	TKTL1	X
ENSG00000007372	PAX6	11
ENSG00000007376	RPUSD1	16
ENSG00000007384	RHBDF1	16
ENSG00000007392	LUC7L	16
ENSG00000007402	CACNA2D2	3
ENSG00000007516	BAIAP3	16
ENSG00000007520	TSR3	16
ENSG00000007541	PIGQ	16
ENSG00000007545	CRAMP1	16
ENSG00000007866	TEAD3	6
ENSG00000007908	SELE	1
ENSG00000007923	DNAJC11	1
ENSG00000007933	FMO3	1
ENSG00000007944	MYLIP	6
ENSG00000007952	NOX1	X
ENSG00000007968	E2F2	1
ENSG00000008018	PSMB1	6
ENSG00000008056	SYN1	X
ENSG00000008083	JARID2	6
ENSG00000008086	CDKL5	X
ENSG00000008118	CAMK1G	1
ENSG00000008128	CDK11A	1
ENSG00000008130	NADK	1
ENSG00000008197	TFAP2D	6
ENSG00000008226	DLEC1	3
ENSG00000008256	CYTH3	7
ENSG00000008277	ADAM22	7
ENSG00000008282	SYPL1	7
ENSG00000008283	CYB561	17
ENSG00000008294	SPAG9	17
ENSG00000008300	CELSR3	3
ENSG00000008311	AASS	7
ENSG00000008323	PLEKHG6	12
ENSG00000008324	SS18L2	3
ENSG00000008382	MPND	19
ENSG00000008394	MGST1	12
ENSG00000008405	CRY1	12
ENSG00000008438	PGLYRP1	19
ENSG00000008441	NFIX	19
ENSG00000008513	ST3GAL1	8
ENSG00000008516	MMP25	16
ENSG00000008517	IL32	16
ENSG00000008710	PKD1	16
ENSG00000008735	MAPK8IP2	22
ENSG00000008838	MED24	17
ENSG00000008853	RHOBTB2	8
ENSG00000008869	HEATR5B	2
ENSG00000008952	SEC62	3
ENSG00000008988	RPS20	8
ENSG00000009307	CSDE1	1
ENSG00000009335	UBE3C	7
ENSG00000009413	REV3L	6
ENSG00000009694	TENM1	X
ENSG00000009724	MASP2	1
ENSG00000009765	IYD	6
ENSG00000009780	FAM76A	1
ENSG00000009790	TRAF3IP3	1
ENSG00000009830	POMT2	14
ENSG00000009844	VTA1	6
ENSG00000009950	MLXIPL	7
ENSG00000009954	BAZ1B	7
ENSG00000010017	RANBP9	6
ENSG00000010030	ETV7	6
ENSG00000010072	SPRTN	1
ENSG00000010165	METTL13	1
ENSG00000010219	DYRK4	12
ENSG00000010244	ZNF207	17
ENSG00000010256	UQCRC1	3
ENSG00000010270	STARD3NL	7
ENSG00000010278	CD9	12
ENSG00000010282	HHATL	3
ENSG00000010292	NCAPD2	12
ENSG00000010295	IFFO1	12
ENSG00000010310	GIPR	19
ENSG00000010318	PHF7	3
ENSG00000010319	SEMA3G	3
ENSG00000010322	NISCH	3
ENSG00000010327	STAB1	3
ENSG00000010361	FUZ	19
ENSG00000010379	SLC6A13	12
ENSG00000010404	IDS	X
ENSG00000010438	PRSS3	9
ENSG00000010539	ZNF200	16
ENSG00000010610	CD4	12
ENSG00000010626	LRRC23	12
ENSG00000010671	BTK	X
ENSG00000010704	HFE	6
ENSG00000010803	SCMH1	1
ENSG00000010810	FYN	6
ENSG00000010818	HIVEP2	6
ENSG00000010932	FMO1	1
ENSG00000011007	ELOA	1
ENSG00000011009	LYPLA2	1
ENSG00000011021	CLCN6	1
ENSG00000011028	MRC2	17
ENSG00000011052	NME1-NME2	17
ENSG00000011083	SLC6A7	5
ENSG00000011105	TSPAN9	12
ENSG00000011114	BTBD7	14
ENSG00000011132	APBA3	19
ENSG00000011143	MKS1	17
ENSG00000011198	ABHD5	3
ENSG00000011201	ANOS1	X
ENSG00000011243	AKAP8L	19
ENSG00000011258	MBTD1	17
ENSG00000011260	UTP18	17
ENSG00000011275	RNF216	7
ENSG00000011295	TTC19	17
ENSG00000011304	PTBP1	19
ENSG00000011332	DPF1	19
ENSG00000011376	LARS2	3
ENSG00000011405	PIK3C2A	11
ENSG00000011422	PLAUR	19
ENSG00000011426	ANLN	7
ENSG00000011451	WIZ	19
ENSG00000011454	RABGAP1	9
ENSG00000011465	DCN	12
ENSG00000011478	QPCTL	19
ENSG00000011485	PPP5C	19
ENSG00000011523	CEP68	2
ENSG00000011566	MAP4K3	2
ENSG00000011590	ZBTB32	19
ENSG00000011600	TYROBP	19
ENSG00000011638	LDAF1	16
ENSG00000012048	BRCA1	17
ENSG00000012061	ERCC1	19
ENSG00000012124	CD22	19
ENSG00000012171	SEMA3B	3
ENSG00000012174	MBTPS2	X
ENSG00000012211	PRICKLE3	X
ENSG00000012223	LTF	3
ENSG00000012232	EXTL3	8
ENSG00000012660	ELOVL5	6
ENSG00000012779	ALOX5	10
ENSG00000012817	KDM5D	Y
ENSG00000012822	CALCOCO1	12
ENSG00000012963	UBR7	14
ENSG00000012983	MAP4K5	14
ENSG00000013016	EHD3	2
ENSG00000013275	PSMC4	19
ENSG00000013288	MAN2B2	4
ENSG00000013293	SLC7A14	3
ENSG00000013297	CLDN11	3
ENSG00000013306	SLC25A39	17
ENSG00000013364	MVP	16
ENSG00000013374	NUB1	7
ENSG00000013375	PGM3	6
ENSG00000013392	RWDD2A	6
ENSG00000013441	CLK1	2
ENSG00000013503	POLR3B	12
ENSG00000013523	ANGEL1	14
ENSG00000013561	RNF14	5
ENSG00000013563	DNASE1L1	X
ENSG00000013573	DDX11	12
ENSG00000013583	HEBP1	12
ENSG00000013588	GPRC5A	12
ENSG00000013619	MAMLD1	X
ENSG00000013725	CD6	11
ENSG00000013810	TACC3	4
ENSG00000014123	UFL1	6
ENSG00000014138	POLA2	11
ENSG00000014164	ZC3H3	8
ENSG00000014216	CAPN1	11
ENSG00000014257	ACP3	3
ENSG00000014641	MDH1	2
ENSG00000014824	SLC30A9	4
ENSG00000014914	MTMR11	1
ENSG00000014919	COX15	10
ENSG00000015133	CCDC88C	14
ENSG00000015153	YAF2	12
ENSG00000015171	ZMYND11	10
ENSG00000015285	WAS	X
ENSG00000015413	DPEP1	16
ENSG00000015475	BID	22
ENSG00000015479	MATR3	5
ENSG00000015520	NPC1L1	7
ENSG00000015532	XYLT2	17
ENSG00000015568	RGPD5	2
ENSG00000015592	STMN4	8
ENSG00000015676	NUDCD3	7
ENSG00000016391	CHDH	3
ENSG00000016602	CLCA4	1
ENSG00000016864	GLT8D1	3
ENSG00000017260	ATP2C1	3
ENSG00000017427	IGF1	12
ENSG00000017483	SLC38A5	X
ENSG00000017797	RALBP1	18
ENSG00000018189	RUFY3	4
ENSG00000018236	CNTN1	12
ENSG00000018280	SLC11A1	2
ENSG00000018408	WWTR1	3
ENSG00000018510	AGPS	2
ENSG00000018610	STEEP1	X
ENSG00000018625	ATP1A2	1
ENSG00000018699	TTC27	2
ENSG00000018869	ZNF582	19
ENSG00000019102	VSIG2	11
ENSG00000019144	PHLDB1	11
ENSG00000019169	MARCO	2
ENSG00000019186	CYP24A1	20
ENSG00000019485	PRDM11	11
ENSG00000019505	SYT13	11
ENSG00000019582	CD74	5
ENSG00000019991	HGF	7
ENSG00000019995	ZRANB1	10
ENSG00000020129	NCDN	1
ENSG00000020181	ADGRA2	8
ENSG00000020256	ZFP64	20
ENSG00000020426	MNAT1	14
ENSG00000020577	SAMD4A	14
ENSG00000020633	RUNX3	1
ENSG00000020922	MRE11	11
ENSG00000021300	PLEKHB1	11
ENSG00000021355	SERPINB1	6
ENSG00000021461	CYP3A43	7
ENSG00000021488	SLC7A9	19
ENSG00000021574	SPAST	2
ENSG00000021645	NRXN3	14
ENSG00000021762	OSBPL5	11
ENSG00000021776	AQR	15
ENSG00000021826	CPS1	2
ENSG00000022267	FHL1	X
ENSG00000022277	RTF2	20
ENSG00000022556	NLRP2	19
ENSG00000022567	SLC45A4	8
ENSG00000022840	RNF10	12
ENSG00000022976	ZNF839	14
ENSG00000023041	ZDHHC6	10
ENSG00000023171	GRAMD1B	11
ENSG00000023191	RNH1	11
ENSG00000023228	NDUFS1	2
ENSG00000023287	RB1CC1	8
ENSG00000023318	ERP44	9
ENSG00000023330	ALAS1	3
ENSG00000023445	BIRC3	11
ENSG00000023516	AKAP11	13
ENSG00000023572	GLRX2	1
ENSG00000023608	SNAPC1	14
ENSG00000023697	DERA	12
ENSG00000023734	STRAP	12
ENSG00000023839	ABCC2	10
ENSG00000023892	DEF6	6
ENSG00000023902	PLEKHO1	1
ENSG00000023909	GCLM	1
ENSG00000024048	UBR2	6
ENSG00000024422	EHD2	19
ENSG00000024526	DEPDC1	1
ENSG00000024862	CCDC28A	6
ENSG00000025039	RRAGD	6
ENSG00000025156	HSF2	6
ENSG00000025293	PHF20	20
ENSG00000025423	HSD17B6	12
ENSG00000025434	NR1H3	11
ENSG00000025708	TYMP	22
ENSG00000025770	NCAPH2	22
ENSG00000025772	TOMM34	20
ENSG00000025796	SEC63	6
ENSG00000025800	KPNA6	1
ENSG00000026025	VIM	10
ENSG00000026036	RTEL1-TNFRSF6B	20
ENSG00000026103	FAS	10
ENSG00000026297	RNASET2	6
ENSG00000026508	CD44	11
ENSG00000026559	KCNG1	20
ENSG00000026652	AGPAT4	6
ENSG00000026751	SLAMF7	1
ENSG00000026950	BTN3A1	6
ENSG00000027001	MIPEP	13
ENSG00000027075	PRKCH	14
ENSG00000027644	INSRR	1
ENSG00000027697	IFNGR1	6
ENSG00000027847	B4GALT7	5
ENSG00000027869	SH2D2A	1
ENSG00000028116	VRK2	2
ENSG00000028137	TNFRSF1B	1
ENSG00000028203	VEZT	12
ENSG00000028277	POU2F2	19
ENSG00000028310	BRD9	5
ENSG00000028528	SNX1	15
ENSG00000028839	TBPL1	6
ENSG00000029153	ARNTL2	12
ENSG00000029363	BCLAF1	6
ENSG00000029364	SLC39A9	14
ENSG00000029534	ANK1	8
ENSG00000029639	TFB1M	6
ENSG00000029725	RABEP1	17
ENSG00000029993	HMGB3	X
ENSG00000030066	NUP160	11
ENSG00000030110	BAK1	6
ENSG00000030304	MUSK	9
ENSG00000030419	IKZF2	2
ENSG00000030582	GRN	17
ENSG00000031003	FAM13B	5
ENSG00000031081	ARHGAP31	3
ENSG00000031691	CENPQ	6
ENSG00000031698	SARS1	1
ENSG00000031823	RANBP3	19
ENSG00000032219	ARID4A	14
ENSG00000032389	EIPR1	2
ENSG00000032444	PNPLA6	19
ENSG00000032742	IFT88	13
ENSG00000033011	ALG1	16
ENSG00000033030	ZCCHC8	12
ENSG00000033050	ABCF2	7
ENSG00000033100	CHPF2	7
ENSG00000033122	LRRC7	1
ENSG00000033170	FUT8	14
ENSG00000033178	UBA6	4
ENSG00000033327	GAB2	11
ENSG00000033627	ATP6V0A1	17
ENSG00000033800	PIAS1	15
ENSG00000033867	SLC4A7	3
ENSG00000034053	APBA2	15
ENSG00000034152	MAP2K3	17
ENSG00000034239	CLXN	8
ENSG00000034510	TMSB10	2
ENSG00000034533	ASTE1	3
ENSG00000034677	RNF19A	8
ENSG00000034693	PEX3	6
ENSG00000034713	GABARAPL2	16
ENSG00000034971	MYOC	1
ENSG00000035115	SH3YL1	2
ENSG00000035141	FAM136A	2
ENSG00000035403	VCL	10
ENSG00000035499	DEPDC1B	5
ENSG00000035664	DAPK2	15
ENSG00000035681	NSMAF	8
ENSG00000035687	ADSS2	1
ENSG00000035720	STAP1	4
ENSG00000035862	TIMP2	17
ENSG00000035928	RFC1	4
ENSG00000036054	TBC1D23	3
ENSG00000036257	CUL3	2
ENSG00000036448	MYOM2	8
ENSG00000036473	OTC	X
ENSG00000036530	CYP46A1	14
ENSG00000036549	ZZZ3	1
ENSG00000036565	SLC18A1	8
ENSG00000036672	USP2	11
ENSG00000036828	CASR	3
ENSG00000037042	TUBG2	17
ENSG00000037241	RPL26L1	5
ENSG00000037280	FLT4	5
ENSG00000037474	NSUN2	5
ENSG00000037637	FBXO42	1
ENSG00000037749	MFAP3	5
ENSG00000037757	MRI1	19
ENSG00000037897	METTL1	12
ENSG00000037965	HOXC8	12
ENSG00000038002	AGA	4
ENSG00000038210	PI4K2B	4
ENSG00000038219	BOD1L1	4
ENSG00000038274	MAT2B	5
ENSG00000038358	EDC4	16
ENSG00000038382	TRIO	5
ENSG00000038427	VCAN	5
ENSG00000038532	CLEC16A	16
ENSG00000038945	MSR1	8
ENSG00000039068	CDH1	16
ENSG00000039123	MTREX	5
ENSG00000039139	DNAH5	5
ENSG00000039319	ZFYVE16	5
ENSG00000039523	RIPOR1	16
ENSG00000039560	RAI14	5
ENSG00000039600	SOX30	5
ENSG00000039650	PNKP	19
ENSG00000039987	BEST2	19
ENSG00000040199	PHLPP2	16
ENSG00000040275	SPDL1	5
ENSG00000040341	STAU2	8
ENSG00000040487	SLC66A1	1
ENSG00000040531	CTNS	17
ENSG00000040608	RTN4R	22
ENSG00000040633	PHF23	17
ENSG00000040731	CDH10	5
ENSG00000040933	INPP4A	2
ENSG00000041353	RAB27B	18
ENSG00000041357	PSMA4	15
ENSG00000041515	MYO16	13
ENSG00000041802	LSG1	3
ENSG00000041880	PARP3	3
ENSG00000041982	TNC	9
ENSG00000041988	THAP3	1
ENSG00000042062	RIPOR3	20
ENSG00000042088	TDP1	14
ENSG00000042286	AIFM2	10
ENSG00000042317	SPATA7	14
ENSG00000042429	MED17	11
ENSG00000042445	RETSAT	2
ENSG00000042493	CAPG	2
ENSG00000042753	AP2S1	19
ENSG00000042781	USH2A	1
ENSG00000042813	ZPBP	7
ENSG00000042832	TG	8
ENSG00000042980	ADAM28	8
ENSG00000043039	BARX2	11
ENSG00000043093	DCUN1D1	3
ENSG00000043143	JADE2	5
ENSG00000043462	LCP2	5
ENSG00000043514	TRIT1	1
ENSG00000043591	ADRB1	10
ENSG00000044090	CUL7	6
ENSG00000044115	CTNNA1	5
ENSG00000044446	PHKA2	X
ENSG00000044459	CNTLN	9
ENSG00000044574	HSPA5	9
ENSG00000046604	DSG2	18
ENSG00000046647	GEMIN8	X
ENSG00000046651	OFD1	X
ENSG00000046653	GPM6B	X
ENSG00000046889	PREX2	8
ENSG00000047056	WDR37	10
ENSG00000047188	YTHDC2	5
ENSG00000047230	CTPS2	X
ENSG00000047249	ATP6V1H	8
ENSG00000047315	POLR2B	4
ENSG00000047346	FAM214A	15
ENSG00000047365	ARAP2	4
ENSG00000047410	TPR	1
ENSG00000047457	CP	3
ENSG00000047578	KATNIP	16
ENSG00000047579	DTNBP1	6
ENSG00000047597	XK	X
ENSG00000047617	ANO2	12
ENSG00000047621	C12orf4	12
ENSG00000047634	SCML1	X
ENSG00000047644	WWC3	X
ENSG00000047648	ARHGAP6	X
ENSG00000047662	FAM184B	4
ENSG00000047849	MAP4	3
ENSG00000047932	GOPC	6
ENSG00000048028	USP28	11
ENSG00000048052	HDAC9	7
ENSG00000048140	TSPAN17	5
ENSG00000048162	NOP16	5
ENSG00000048342	CC2D2A	4
ENSG00000048392	RRM2B	8
ENSG00000048405	ZNF800	7
ENSG00000048462	TNFRSF17	16
ENSG00000048471	SNX29	16
ENSG00000048544	MRPS10	6
ENSG00000048545	GUCA1A	6
ENSG00000048649	RSF1	11
ENSG00000048707	VPS13D	1
ENSG00000048740	CELF2	10
ENSG00000048828	FAM120A	9
ENSG00000048991	R3HDM1	2
ENSG00000049089	COL9A2	1
ENSG00000049167	ERCC8	5
ENSG00000049192	ADAMTS6	5
ENSG00000049239	H6PD	1
ENSG00000049245	VAMP3	1
ENSG00000049246	PER3	1
ENSG00000049247	UTS2	1
ENSG00000049249	TNFRSF9	1
ENSG00000049283	EPN3	17
ENSG00000049323	LTBP1	2
ENSG00000049449	RCN1	11
ENSG00000049540	ELN	7
ENSG00000049541	RFC2	7
ENSG00000049618	ARID1B	6
ENSG00000049656	CLPTM1L	5
ENSG00000049759	NEDD4L	18
ENSG00000049768	FOXP3	X
ENSG00000049769	PPP1R3F	X
ENSG00000049860	HEXB	5
ENSG00000049883	PTCD2	5
ENSG00000050030	NEXMIF	X
ENSG00000050130	JKAMP	14
ENSG00000050165	DKK3	11
ENSG00000050327	ARHGEF5	7
ENSG00000050344	NFE2L3	7
ENSG00000050393	MCUR1	6
ENSG00000050405	LIMA1	12
ENSG00000050426	LETMD1	12
ENSG00000050438	SLC4A8	12
ENSG00000050555	LAMC3	9
ENSG00000050628	PTGER3	1
ENSG00000050730	TNIP3	4
ENSG00000050748	MAPK9	5
ENSG00000050767	COL23A1	5
ENSG00000050820	BCAR1	16
ENSG00000051009	FHIP1B	11
ENSG00000051108	HERPUD1	16
ENSG00000051128	HOMER3	19
ENSG00000051180	RAD51	15
ENSG00000051341	POLQ	3
ENSG00000051382	PIK3CB	3
ENSG00000051523	CYBA	16
ENSG00000051596	THOC3	5
ENSG00000051620	HEBP2	6
ENSG00000051825	MPHOSPH9	12
ENSG00000052126	PLEKHA5	12
ENSG00000052344	PRSS8	16
ENSG00000052723	SIKE1	1
ENSG00000052749	RRP12	10
ENSG00000052795	FNIP2	4
ENSG00000052802	MSMO1	4
ENSG00000052841	TTC17	11
ENSG00000053108	FSTL4	5
ENSG00000053254	FOXN3	14
ENSG00000053328	METTL24	6
ENSG00000053371	AKR7A2	1
ENSG00000053372	MRTO4	1
ENSG00000053438	NNAT	20
ENSG00000053501	USE1	19
ENSG00000053524	MCF2L2	3
ENSG00000053702	NRIP2	12
ENSG00000053747	LAMA3	18
ENSG00000053770	AP5M1	14
ENSG00000053900	ANAPC4	4
ENSG00000053918	KCNQ1	11
ENSG00000054116	TRAPPC3	1
ENSG00000054118	THRAP3	1
ENSG00000054148	PHPT1	9
ENSG00000054179	ENTPD2	9
ENSG00000054219	LY75	2
ENSG00000054267	ARID4B	1
ENSG00000054277	OPN3	1
ENSG00000054282	SDCCAG8	1
ENSG00000054356	PTPRN	2
ENSG00000054392	HHAT	1
ENSG00000054523	KIF1B	1
ENSG00000054598	FOXC1	6
ENSG00000054611	TBC1D22A	22
ENSG00000054654	SYNE2	14
ENSG00000054690	PLEKHH1	14
ENSG00000054793	ATP9A	20
ENSG00000054938	CHRDL2	11
ENSG00000054965	FAM168A	11
ENSG00000054967	RELT	11
ENSG00000054983	GALC	14
ENSG00000055044	NOP58	2
ENSG00000055070	SZRD1	1
ENSG00000055118	KCNH2	7
ENSG00000055130	CUL1	7
ENSG00000055147	FAM114A2	5
ENSG00000055163	CYFIP2	5
ENSG00000055208	TAB2	6
ENSG00000055211	GINM1	6
ENSG00000055332	EIF2AK2	2
ENSG00000055483	USP36	17
ENSG00000055609	KMT2C	7
ENSG00000055732	MCOLN3	1
ENSG00000055917	PUM2	2
ENSG00000055950	MRPL43	10
ENSG00000055955	ITIH4	3
ENSG00000055957	ITIH1	3
ENSG00000056050	HPF1	4
ENSG00000056097	ZFR	5
ENSG00000056277	ZNF280C	X
ENSG00000056291	NPFFR2	4
ENSG00000056487	PHF21B	22
ENSG00000056558	TRAF1	9
ENSG00000056586	RC3H2	9
ENSG00000056736	IL17RB	3
ENSG00000056972	TRAF3IP2	6
ENSG00000056998	GYG2	X
ENSG00000057019	DCBLD2	3
ENSG00000057252	SOAT1	1
ENSG00000057294	PKP2	12
ENSG00000057468	MSH4	1
ENSG00000057593	F7	13
ENSG00000057608	GDI2	10
ENSG00000057657	PRDM1	6
ENSG00000057663	ATG5	6
ENSG00000057704	TMCC3	12
ENSG00000057757	PITHD1	1
ENSG00000057935	MTA3	2
ENSG00000058056	USP13	3
ENSG00000058063	ATP11B	3
ENSG00000058085	LAMC2	1
ENSG00000058091	CDK14	7
ENSG00000058262	SEC61A1	3
ENSG00000058272	PPP1R12A	12
ENSG00000058335	RASGRF1	15
ENSG00000058404	CAMK2B	7
ENSG00000058453	CROCC	1
ENSG00000058600	POLR3E	16
ENSG00000058668	ATP2B4	1
ENSG00000058673	ZC3H11A	1
ENSG00000058729	RIOK2	5
ENSG00000058799	YIPF1	1
ENSG00000058804	NDC1	1
ENSG00000058866	DGKG	3
ENSG00000059122	FLYWCH1	16
ENSG00000059145	UNKL	16
ENSG00000059377	TBXAS1	7
ENSG00000059378	PARP12	7
ENSG00000059573	ALDH18A1	10
ENSG00000059588	TARBP1	1
ENSG00000059691	GATB	4
ENSG00000059728	MXD1	2
ENSG00000059758	CDK17	12
ENSG00000059769	DNAJC25	9
ENSG00000059804	SLC2A3	12
ENSG00000059915	PSD	10
ENSG00000060069	CTDP1	18
ENSG00000060138	YBX3	12
ENSG00000060140	STYK1	12
ENSG00000060237	WNK1	12
ENSG00000060303	RPS17P5	6
ENSG00000060339	CCAR1	10
ENSG00000060491	OGFR	20
ENSG00000060558	GNA15	19
ENSG00000060566	CREB3L3	19
ENSG00000060642	PIGV	1
ENSG00000060656	PTPRU	1
ENSG00000060688	SNRNP40	1
ENSG00000060709	RIMBP2	12
ENSG00000060749	QSER1	11
ENSG00000060762	MPC1	6
ENSG00000060971	ACAA1	3
ENSG00000060982	BCAT1	12
ENSG00000061273	HDAC7	12
ENSG00000061337	LZTS1	8
ENSG00000061455	PRDM6	5
ENSG00000061656	SPAG4	20
ENSG00000061676	NCKAP1	2
ENSG00000061794	MRPS35	12
ENSG00000061918	GUCY1B1	4
ENSG00000061936	SFSWAP	12
ENSG00000062038	CDH3	16
ENSG00000062096	ARSF	X
ENSG00000062194	GPBP1	5
ENSG00000062282	DGAT2	11
ENSG00000062370	ZNF112	19
ENSG00000062485	CS	12
ENSG00000062524	LTK	15
ENSG00000062582	MRPS24	7
ENSG00000062598	ELMO2	20
ENSG00000062716	VMP1	17
ENSG00000062725	APPBP2	17
ENSG00000062822	POLD1	19
ENSG00000063015	SEZ6	17
ENSG00000063046	EIF4B	12
ENSG00000063127	SLC6A16	19
ENSG00000063169	BICRA	19
ENSG00000063176	SPHK2	19
ENSG00000063177	RPL18	19
ENSG00000063180	CA11	19
ENSG00000063241	ISOC2	19
ENSG00000063244	U2AF2	19
ENSG00000063245	EPN1	19
ENSG00000063322	MED29	19
ENSG00000063438	AHRR	5
ENSG00000063515	GSC2	22
ENSG00000063587	ZNF275	X
ENSG00000063601	MTMR1	X
ENSG00000063660	GPC1	2
ENSG00000063761	ADCK1	14
ENSG00000063854	HAGH	16
ENSG00000063978	RNF4	4
ENSG00000064012	CASP8	2
ENSG00000064042	LIMCH1	4
ENSG00000064102	INTS13	12
